nombre,pais,tipo_institucion,tipo_gestion,estado_dic_universidades
Universidad Nacional del Altiplano,Perú,U,N,1
Universidad Nacional Agraria La Molina,Perú,U,N,1
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,CHILE,U,N,1
UNIVERSIDAD DE CONCEPCIÓN,CHILE,U,N,1
UNIVERSIDAD FEDERAL DE PELOTAS,BRASIL,U,N,1
UNIVERSIDAD CENTRAL DE VENEZUELA ,VENEZUELA,U,N,1
UNIVERSIDAD DE AGRICULTURA Y MEDICINA VETERINARIA DE OBIHIRO,JAPÓN,U,N,1
OBIHIRO UNIVERSITY OF AGRICULTURE AND VETERINARY MEDICINE,JAPÓN,U,N,1
Universidad José Carlos Mariátegui,Perú,U,P,1
UNIVERSIDAD DE SANTIAGO DE CHILE,CHILE,U,N,1
Universidad Nacional de Ingeniería,Perú,U,N,1
Universidad Nacional de San Agustín de Arequipa,Perú,U,N,1
Universidad Alas Peruanas S.A.,Perú,U,P,1
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,BRASIL,U,N,1
UNIVERSIDAD AUTÓNOMA CHAPINGO,MÉXICO,U,N,1
UNIVERSIDAD NACIONAL DE COLOMBIA,COLOMBIA,U,N,1
Universidad Nacional Federico Villarreal,Perú,U,N,1
Universidad Nacional de San Antonio Abad del Cusco,Perú,U,N,1
Universidad Andina Néstor Cáceres Velásquez,Perú,U,P,1
COLEGIO DE POSGRADUADOS - INSTITUCIÓN DE ENSEÑANZA E INVESTIGACIÓN EN CIENCIAS AGRICOLAS,MÉXICO,U,N,1
UNIVERSIDAD MAYOR DE SAN ANDRÉS,BOLIVIA,U,N,1
Universidad Nacional Mayor de San Marcos,Perú,U,N,1
Universidad de San Martín de Porres,Perú,U,P,1
CEKLEGIO DE POSTGRADUADOS,MÉXICO,U,N,1
FACULTAD LATINOAMERICAN DE CIENCIAS SOCIALES,COSTA RICA,U,N,1
Universidad Nacional del Santa,Perú,U,N,1
UNIVERSIDAD DE SAO PAULO,BRASIL,U,N,1
UNIVERSIDAD POLITÉCNICA DE MADRID,ESPAÑA,U,N,1
Universidad Privada San Carlos S.A.C.,Perú,U,P,1
-,Perú,-,P,1
UNIVERSIDAD DE PITTSBURGH,ESTADOS UNIDOS DE AMÉRICA,U,N,1
COLEGIO DE MEXICO,MÉXICO,U,N,1
UNIVERSIDAD DE LOS ANDES,COLOMBIA,U,N,1
UNIV. NACIONAL AUTÓNOMA DE MÉXICO,MÉXICO,U,N,1
UNIVERSIDAD MAYOR DE SAN ANDRES,BOLIVIA,U,N,1
Universidad Inca Garcilaso de la Vega Asociación Civil,Perú,U,P,1
Universidad del Pacífico,Perú,U,P,1
UNIV. ANDINA SIMÓN BOLIVAR,BOLIVIA,U,N,1
UNIVERSIDAD MAYOR DE SAN SIMÓN,BOLIVIA,U,N,1
"UNIV, MAYOR DE SAN ANDRES",BOLIVIA,U,N,1
Pontificia Universidad Católica del Perú,Perú,U,P,1
UNIVERSIDAD COMPLUTENSE DE MADRID   Y UNIVERSIDAD AUTÓNOMA DE MADRID  ,ESPAÑA,U,N,1
UNIVERSIDAD DE CHILE,CHILE,U,N,1
UNIVERSIDAD AUTONOMA CHAPINGO,MÉXICO,U,N,1
UNIVERSIDAD ALBERTO HURTADO,CHILE,U,N,1
UNIVERSIDAD DE LOS ANDES ,COLOMBIA,U,N,1
UNIV AUTONOMA DE CHAPINGO,MÉXICO,U,N,1
Universidad Nacional Jorge Basadre Grohmann,Perú,U,N,1
Universidad Católica de Santa María,Perú,U,P,1
Universidad Nacional Pedro Ruiz Gallo,Perú,U,N,1
Universidad Nacional de Cajamarca,Perú,U,N,1
Universidad ESAN,Perú,U,P,1
Universidad Nacional de Tumbes,Perú,U,N,1
Universidad Nacional Hermilio Valdizán de Huánuco,Perú,U,N,1
Universidad Ricardo Palma,Perú,U,P,1
Universidad Nacional San Luis Gonzaga,Perú,U,N,1
Universidad Femenina del Sagrado Corazón,Perú,U,P,1
DE LOS ANDES,COLOMBIA,U,N,1
UNIVERSIDSAD MAYOR DE SAN ANDRÉS,BOLIVIA,U,N,1
UNIVERSITÉ BORDEAUX IV,FRANCIA,U,N,1
UNIVERSIDAD AUTÓNOMA DE MADRID  ,ESPAÑA,U,N,1
