id,id_usuario,id_universidad,id_grado_academico,titulo_profesional,especialidad,fecha_emision,resolucion,fecha_resolucion,flag_resolucion_nulidad,nro_resolucion_nulidad,fecha_resolucion_nulidad,id_tipo_obtencion
1,9,2,3,MAGISTER EN SCIENTIAE,TECNOLOGIA DE ALIMENTOS,2006-02-10,166-UNALM,,,,,2
2,9,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: TECNOLOGIA DE ALIMENTOS,2006-02-10,166-UNALM/2006,,,,,2
3,9,2,2,INGENIERO EN INDUSTRIAS ALIMENTARIAS,-,1996-04-16,56115/UNALM,,,,,2
4,9,2,1,BACHILLER EN CIENCIAS INDUSTRIAS ALIMENTARIAS,-,1991-12-05,52281/UNALM,,,,,2
5,9,2,4,DOCTORIS PHILOSOPHIAE EN CIENCIA DE ALIMENTOS,-,2021-10-06,340-CU-UNALM,,,,,2
6,8,1,2,INGENIERO AGROINDUSTRIAL,-,2008-04-11,0802-2008-R-UNA,,,,,2
7,8,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,2006-11-24,2401-2006-R-UNA,,,,,2
8,8,9,4,GRADO ACADÉMICO DE DOCTOR EN CIENCIAS DE LA INGENIERÍA,-,2018-09-12,RESOLUCIÓN Nº 0964-2019-SUNEDU-02-15-02,,,,,2
9,8,9,3,GRADO ACADÉMICO DE MAGÍSTER EN INGENIERÍA,-,2017-07-20,RESOLUCIÓN DE RECONOCIMIENTO Nº 5814-2017-SUNEDU-02-15-02,,,,,2
10,4,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2005-06-30,383-2005-R-UNA,,,,,2
11,4,3,1,BACHILLER EN,INGENIERIA INDUSTRIAL,1980-03-21,-,,,,,2
12,4,3,2,INGENIERO INDUSTRIAL,-,1986-02-26,-,,,,,2
13,3,1,3,MAGISTER SCIENTIAE EN POSCOSECHA Y MARKETING,-,2006-07-27,1567-2006-R-UNA,,,,,2
14,3,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1998-08-14,1567-98-R-UNA,,,,,2
15,3,1,2,INGENIERO AGROINDUSTRIAL,-,2001-01-26,0058-2001-R-UNA,,,,,2
16,3,8,4,GRADO DE DOCTOR EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,-,,0702,,,,,2
17,6,6,3,MAESTRO EN CIENCIAS CON MENCIÓN EN INGENIERÍA AMBIENTAL,-,2018-01-08,059-2018-CU-UJCM,,,,,2
18,6,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,2001-08-03,1133-2001-R-UNA,,,,,2
19,6,1,4,"Doctor en Ciencia, Tecnología y Medio Ambiente",-,2024-09-16,2558-2024-R-UNA,,,,,2
20,6,1,2,Ingeniero Agroindustrial,-,2004-01-30,148-2004-R-UNA,,,,,2
21,5,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1996-01-19,0069-96-R-UNA,,,,,2
22,5,1,2,INGENIERO AGROINDUSTRIAL,-,2001-08-17,1222-2001-R-UNA,,,,,2
23,5,1,3,"Magíster Scientiae en Economía, Mención: Proyectos de Inversión",-,2025-06-10,1713-2025-R-UNA,,,,,2
24,10,3,1,BACHILLER EN CIENCIAS,INGENIERIA INDUSTRIAL,1982-11-23,-,,,,,2
25,10,3,2,INGENIERO INDUSTRIAL,-,1989-09-13,-,,,,,2
26,10,10,4,DOCTOR EN CIENCIAS EMPRESARIALES,-,2018-08-03,O.G.Y.T. 017-2018,,,,,2
27,10,2,3,MAGISTER SCIENTIAE,AGRONEGOCIOS,2010-10-28,912-UNALM-2010,,,,,2
28,2,1,2,SCIENTIAE EN POSCOSECHA Y MARKETING,-,2006-03-24,516-2006-R-UNA,,,,,2
29,2,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1995-11-24,1731-95-R-UNA,,,,,2
30,2,1,3,MAGISTER SCIENTIAE EN POSCOSECHA Y MARKETING,-,2006-03-24,516-2006-R-UNA,,,,,2
31,2,1,2,INGENIERO AGROINDUSTRIAL,-,1999-10-29,1697-99-R-UNA,,,,,2
32,7,1,4,"DOCTORIS SCIENTIAE EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2016-10-21,3801-2016-R-UNA,,,,,2
33,7,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-04-04,-,,,,,2
34,7,1,2,INGENIERO AGRONOMO,-,1979-09-18,-,,,,,2
35,7,7,3,DIPLOMA DE MAESTRÍA EN CIENCIAS ,-,1994-12-28,1099-96-ANR,,,,,2
36,1,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1995-02-17,209-95-R-UNA,,,,,2
37,1,1,2,INGENIERO AGROINDUSTRIAL,-,1996-07-12,958-96-R-UNA,,,,,2
38,1,2,3,MAGISTER SCIENTIAE,TECNOLOGIA DE ALIMENTOS,2002-06-17,391-UNALM,,,,,2
39,1,5,4,GRADO DE : DOCTOR EN HIGIENE DE ALIMENTOS Y ANIMALES ,-,,299-2012-ANR,,,,,2
40,1,4,3,GRADO DE MAESTRÍA EN HIGIENE DE ANIMALES Y ALIMENTOS ,-,2007-03-20,RESOLUCIÓN DE RECONOCIMIENTO Nº 2393-2017-SUNEDU-02-15-02,,,,,2
41,13,2,3,MAGISTER SCIENTIAE,NUTRICION,2004-11-16,729-UNALM,,,,,2
42,13,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1995-02-17,209-95-R-UNA,,,,,2
43,13,1,2,INGENIERO AGROINDUSTRIAL,-,1999-10-29,1697-99-R-UNA,,,,,2
44,12,1,2,INGENIERO AGRONOMO,-,1974-12-19,05/12/1974,,,,,2
45,12,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1974-10-21,-,,,,,2
46,12,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2000-08-24,1080-2000-R-UNA,,,,,2
47,16,1,2,Ingeniero Agrónomo,-,1972-12-01,-,,,,,2
48,16,1,1,Bachiller en Ciencias Agrarias,-,1972-10-30,-,,,,,2
49,14,1,2,Ingeniero Agrónomo,-,1977-09-23,-,,,,,2
50,14,1,1,Bachiller en Ciencias Agrarias,-,1976-07-20,-,,,,,2
51,18,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1975-03-04,-,,,,,2
52,18,1,2,INGENIERO AGRONOMO,-,1975-08-07,-,,,,,2
53,18,2,3,MAGISTER SCIENTIAE - ENTOMOLOGÍA,-,1997-12-04,57517/UNA,,,,,2
54,11,2,1,BACHILLER EN CIENCIAS,INDUSTRIAS ALIMENTARIAS,1988-12-07,499666/UNALM,,,,,2
55,11,2,2,INGENIERO EN INDUSTRIAS ALIMENTARIAS,-,1991-01-03,51657/UNALM,,,,,2
56,11,11,3,GRADO ACADÉMICO DE MAGISTER EN INGENIERÍA AGRÍCOLA CON MENCIÓN EN AGROINDUSTRIA Y ESTRUCTURA RURALES,-,,1624-2006-ANR,,,,,2
57,11,9,4,GRADO ACADÉMICO DE DOCTOR EN CIENCIAS DE LA INGENIERÍA,-,,0599-2012-ANR,,,,,2
58,15,1,2,INGENIERO AGRONOMO,-,1980-05-08,-,,,,,2
59,15,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-01-15,-,,,,,2
60,15,1,3,MAGISTER SCIENTIAE EN AGRICULTURA ANDINA,-,2006-02-10,0222-2006-R-UNA,,,,,2
61,15,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2011-12-30,2688-2011-R-UNA,,,,,2
62,20,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,2001-08-17,1223-2001-R-UNA,,,,,2
63,20,1,2,INGENIERO AGRONOMO,-,2004-11-05,228-2004-P-CTG-UNA,,,,,2
64,20,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: PRODUCCION AGRICOLA,2007-12-11,830/UNALM,,,,,2
65,20,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,2001-08-17,1223-2001-R-UNA,,,,,2
66,20,2,4,DOCTORIS PHILOSOPHIAE EN AGRICULTURA SUSTENTABLE,-,2025-08-07,0309-2025-CU-UNALM,,,,,2
67,19,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-04-18,-,,,,,2
68,19,1,2,INGENIERO AGRONOMO,-,1981-12-22,-,,,,,2
69,21,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: ECONOMIA AGRICOLA,1991-12-05,52283/UNALM,,,,,2
70,21,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-10-19,-,,,,,2
71,21,1,2,INGENIERO AGRONOMO,-,1980-07-11,-,,,,,2
72,21,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2020-09-29,0971-2020-R-UNA,,,,,2
73,23,2,3,MAGISTER SCIENTIAE ESPECIALIDAD EN,SUELOS,1987-05-07,-,,,,,2
74,23,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1977-09-23,-,,,,,2
75,23,1,2,INGENIERO AGRONOMO,-,1979-01-30,-,,,,,2
76,23,2,3,MAGISTER SCIENTIAE - SUELOS,-,1994-10-25,48525,,,,,2
77,22,2,3,MAGISTER SCIENTIAE - SUELOS,-,1993-11-22,53949,,,,,2
78,22,1,2,INGENIERO AGRONOMO,-,1978-06-23,-,,,,,2
79,22,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-12-29,-,,,,,2
80,22,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: SUELOS,1993-11-22,53949,,,,,2
81,22,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2025-01-31,0164-2025-R-UNA,,,,,2
82,17,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1995-03-03,282-95-R-UNA,,,,,2
83,17,1,2,INGENIERO AGRONOMO,-,1995-07-21,957-95-R-UNA,,,,,2
84,17,13,4,"DOCTOR: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2013-10-29,11965-2013-R-UAP,,,,,2
85,17,9,3,GRADO ACADÉMICO DE MAGISTER EN PRODUCCIÓN ANIMAL,-,1998-10-05,086-2000-ANR,,,,,2
86,17,14,4,"GRADO DE DOCTOR EN AGRONOMÍA, ESPECIALIDAD: SUELOS Y SISTEMAS INTEGRADOS DE PRODUCCIÓN AGRÍCOLA (GRADO DE DOCTOR)",-,2019-03-13,RESOLUCIÓN JEFATURAL 02915-2024-SUNEDU-DS-DIGRAT-URGT,,,,,2
87,25,15,2,TITULO DE INGENIERO AGRONOMO,-,1976-01-02,R-230-75,,,,,2
88,25,2,3,MAGISTER SCIENTIAE EN PRODUCCIÓN ANIMAL,-,1993-02-16,53342,,,,,2
89,25,15,2,INGENIERO AGRONOMO,-,1976-01-02,R-230-75,,,,,2
90,25,15,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-01-02,R-21-75,,,,,2
91,26,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1988-12-21,1228-88-R-UNA,,,,,2
92,26,1,2,INGENIERO AGRONOMO,-,1989-08-11,726-89-R-UNA,,,,,2
93,26,1,3,MAGISTER SCIENTIAE EN CULTIVOS ANDINIOS,-,1997-10-17,1455-97-R-UNA,,,,,2
94,26,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2014-01-16,0119-2014-R-UNA,,,,,2
95,26,18,4,DOCTOR EN ADMINISTRACION,-,2008-10-27,7713,,,,,2
96,27,19,2,CONTADOR PUBLICO,-,2008-07-18,136-08-CU-R-UANCV,,,,,2
97,27,19,1,BACHILLER EN CIENCIAS CONTABLES,-,2005-09-16,RES-172-05-CU-R-U,,,,,2
98,27,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2001-12-14,1936-2001-R-UNA,,,,,2
99,27,1,1,Bachiller En Ciencias Agrarias,-,1979-12-19,-,,,,,2
100,24,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1975-03-04,-,,,,,2
101,24,1,2,INGENIERO AGRONOMO,-,1975-06-23,-,,,,,2
102,24,16,3,"CERTIFICAR PROVISIONALMENTE, PARA LOS EFECTOS DEL ARTÍCULO 4º DEL DECRETO SUPREMO Nº 001-79-ED, EL GRADO DE MAGÍSTER EN CIENCIAS.",-,1978-04-10,7721-79-CONUP,,,,,2
103,24,17,4,GRADO DE DOCTOR EN CIENCIAS EN ECONOMÍA AGRÍCOLA,-,1991-10-03,020-96-ANR,,,,,2
104,28,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1981-12-11,-,,,,,2
105,28,1,2,INGENIERO AGRONOMO,-,1983-01-28,-,,,,,2
106,28,2,3,MAGISTER SCIENTIAE,INGENIERIA AGRICOLA,1993-08-26,53812/UNALM,,,,,2
107,28,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2021-04-09,0603-2021-R-UNA,,,,,2
108,29,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1972-08-25,-,,,,,2
109,29,1,2,INGENIERO AGRONOMO,-,1973-02-14,-,,,,,2
110,32,1,2,Ingeniero Agrónomo,-,1973-02-14,-,,,,,2
111,32,1,1,Bachiller en Ciencias Agrarias,-,1973-02-09,-,,,,,2
112,30,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1972-10-26,-,,,,,2
113,30,1,2,INGENIERO AGRONOMO,-,1974-04-02,-,,,,,2
114,31,1,3,MAGISTER SCIENTIAE EN: CULTIVOS ANDINOS,-,2004-01-30,195-2004-R-INA,,,,,2
115,31,1,3,MAGISTER EN SCIENTIAE EN CULTIVOS ANDINOS,-,2004-01-30,195-2004-R-UNA,,,,,2
116,31,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1981-07-03,-,,,,,2
117,31,1,2,INGENIERO AGRONOMO,-,1981-10-02,-,,,,,2
118,31,1,2,SCIENTIAE EN CULTIVOS ANDINOS,-,2004-01-30,195-2004-R-UNA,,,,,2
119,34,1,3,MAGISTER SCIENTIAE EN PRODUCCION ANIMAL,-,2009-10-30,1613-2009-R-UNA,,,,,2
120,34,1,2,INGENIERO AGRONOMO,-,2001-01-26,0058-2001-R-UNA,,,,,2
121,34,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1999-07-23,1239-99-R-UNA,,,,,2
122,34,1,4,"DOCTORIS SCIENTIAE EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2016-11-30,4634-2016-R-UNA,,,,,2
123,33,1,2,INGENIERO AGRONOMO,-,1981-04-10,-,,,,,2
124,33,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-01-15,-,,,,,2
125,33,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2014-01-16,0119-2014-R-UNA,,,,,2
126,33,2,3,MAGISTER SCIENTIAEMAGÍSTER SCIENTIAE  ESPECIALIDAD: SUELOS,-,1996-08-23,56521/UNALM,,,,,2
127,36,1,2,Ingeniero Agrónomo,-,1978-09-29,-,,,,,2
128,36,1,1,Bachiller en Ciencias Agrarias,-,1978-08-09,-,,,,,2
129,35,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,1995-09-15,1284-95-R-UNA,,,,,2
130,35,10,4,DOCTOR EN CIENCIAS Y TECNOLOGÍAS MEDIOAMBIENTALES,-,2020-03-20,O.G.Y.T. 004-2020,,,,,2
131,35,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1980-04-18,-,,,,,2
132,35,1,2,Ingeniero Agrónomo,-,1981-12-11,-,,,,,2
133,37,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1988-12-21,-,,,,,2
134,37,1,2,INGENIERO AGRONOMO,-,1990-06-22,669-90-R-UNA,,,,,2
135,39,1,2,INGENIERO AGRONOMO,-,1982-12-10,-,,,,,2
136,39,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1982-01-29,-,,,,,2
137,39,18,3,MAESTRO EN GESTION AMBIENTAL,-,2012-09-04,2019,,,,,2
138,40,1,4,"DOCTORIS SCIENTIAE EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2015-07-01,1947-2015-R-UNA,,,,,2
139,40,1,2,INGENIERO AGRONOMO,-,1979-12-19,-,,,,,2
140,40,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-05-18,-,,,,,2
141,40,21,3,GRADO DE MAESTRO EN CIENCIAS - MAGISTER SCIENTARUM - MENCIÓN ECOLOGÍA Y CONVERSACIÓN,-,2001-08-28,080-2007-ANR,,,,,2
142,41,1,2,INGENIERO AGRONOMO,-,1999-09-03,1365-99-R-UNA,,,,,2
143,41,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1996-08-23,1192-96-R-UNA,,,,,2
144,41,1,3,Magíster Scientiae en: Gestión de Recursos Naturales y Medio Ambiente,-,2016-05-10,1383-2016-R-UNA,,,,,2
145,41,1,4,"Doctor en Ciencia, Tecnología y Medio Ambiente",-,2024-01-25,0203-2024-R-UNA,,,,,2
146,38,15,2,INGENIERO AGRONOMO,-,1971-07-12,R-536-71,,,,,2
147,38,15,1,BACHILLER EN CIENCIAS AGRARIAS,-,,0500-71,,,,,2
148,38,15,2,INGENIERO AGRONOMO,-,,0536-71,,,,,2
149,38,15,1,BACHILLER EN CIENCIAS AGRARIAS,-,1971-05-31,R-500-71,,,,,2
150,38,15,2,INGENIERO AGRONOMO,-,1971-07-12,R-536-71,,,,,2
151,38,20,4,GRADO DE DOCTOR EN CIENCIAS,-,1989-02-22,1456-2005-ANR,,,,,2
152,42,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1967-12-16,-,,,,,2
153,42,1,2,INGENIERO AGRONOMO,-,1968-05-21,-,,,,,2
154,43,1,2,Ingeniero Agrónomo,-,1977-01-07,-,,,,,2
155,43,1,1,Bachiller en Ciencias Agrarias,-,1976-12-21,-,,,,,2
156,43,1,3,Magíster Scientiae en Gestión y Auditoría Ambiental,-,2024-09-16,2561-2024-R-UNA,,,,,2
157,45,2,3,MAGISTER SCIENTIAE,ESPECIALIDAD: MEJORAMIENTO GENETICO DE PLANTAS,1986-09-30,47867/UNALM,,,,,2
158,45,1,2,INGENIERO AGRONOMO,-,1973-07-11,-,,,,,2
159,45,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1973-02-01,-,,,,,2
160,45,1,4,DOCTORIS SCIENTIAE,"EN: CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",2013-07-10,2018-2013-R-UNA,,,,,2
161,46,1,3,MAGISTER SCIENTIAE EN AGRICULTURA ANDINA,ESPECIALIDAD: AGROECOLOGIA,2000-09-22,1389-2000-R-UNA,,,,,2
162,46,1,2,INGENIERO AGRONOMO,-,1971-03-12,-,,,,,2
163,46,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1970-11-20,-,,,,,2
164,46,1,4,"DOCTORIS SCIENTIAE EN CIENCIA, TECNOLOGIA Y MEDIO AMBIENTE",-,2013-07-10,2018-2013-R-UNA,,,,,2
165,47,13,1,BACHILLER EN INGENIERIA CIVIL,-,2011-08-31,8588-2011-R-UAP,,,,,2
166,47,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,2001-01-26,0100-2001-R-UNA,,,,,2
167,47,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2001-08-03,1132-2001-R-UNA,,,,,2
168,47,13,2,INGENIERO CIVIL,-,2012-11-08,10229-2012-R-UAP,,,,,2
169,47,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1991-08-02,830-91-R-UNA,,,,,2
170,48,1,2,INGENIERO TOPOGRAFO Y AGRIMENSOR,-,2003-12-31,2342-2003-R-UNA,,,,,2
171,48,6,1,BACHILLER EN INGENIERIA CIVIL,-,2014-06-10,644-2014-CU-UJCM,,,,,2
172,48,19,3,MAGISTER EN: INGENIERIA CIVIL,MENCION EN: DISEÑO Y CONSTRUCCIONES,2013-12-13,388-13-CU-R-UANV.,,,,,2
173,48,6,2,INGENIERO CIVIL,-,2014-09-18,1202-2014-CU-UJCM,,,,,2
174,48,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSURA,-,1999-12-03,1927-99-R-UNA,,,,,2
175,48,1,4,"Doctor en Ciencia, Tecnología y Medio Ambiente",-,2022-06-28,1317-2022-R-UNA,,,,,2
176,48,1,1,BACHILLER EN CIENCIAS DE LA INGENIERIA TOPOGRAFICA Y AGRIMENSOR,-,1999-12-03,1927-99-R-UNA,,,,,2
177,48,1,1,BACHILLER EN CS. DE LA ING.TOPOGRAFICA Y AGRIM.,-,1999-12-03,1927-99-R-UNA,,,,,2
178,44,1,2,INGENIERO AGRONOMO,-,1980-04-15,-,,,,,2
179,44,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1979-12-03,-,,,,,2
180,44,7,3,DIPLOMA DE MAGÍSTER EN CIENCIAS,-,1993-11-30,2203-2014-ANR,,,,,2
181,49,1,2,INGENIERO AGRONOMO,-,1979-05-23,-,,,,,2
182,49,1,4,"Doctoris Scientiae en Ciencia, Tecnología y Medio Ambiente",-,2019-12-04,3183-2019-R-UNA,,,,,2
183,49,1,1,BACHILLER EN CIENCIAS AGRARIAS,-,1976-01-09,-,,,,,2
184,49,1,3,Magíster Scientiae en Ingeniería de Recursos de Agua y Suelo,-,2017-11-09,3612-2017-R-UNA,,,,,2
185,50,1,2,INGENIERO TOPOGRAFO AGRIMENSOR,-,2005-04-01,1129-2005-P-CTG-UNA,,,,,2
